source_id,ra,dec,pmra,pmdec,epoch
2875039670446086016,00:00:24.63,+33:25:42.98,7.977353725847815,-5.206250210324438,2015.5
4684042885786567936,00:00:48.96,-77:18:57.84,5.775137108070454,-3.7917165151605716,2015.5
396306356208737792,00:00:55.22,+54:01:28.55,-5.7261035073476,-1.7761193764687782,2015.5
2744979298990130944,00:01:30.45,+05:06:23.46,1.5403737608080024,-2.8234669602215723,2015.5
2307584090171983616,00:02:07.30,-37:49:17.18,-42.84206790989182,-32.230754884098026,2015.5
384860543243341696,00:02:09.32,+43:23:21.19,-5.019585276637655,-9.964527554940975,2015.5
384460943781889024,00:02:22.38,+42:42:13.21,13.150510778094226,-17.886573274189438,2015.5
2312754681040802304,00:03:37.29,-34:33:24.23,,,2015.5
2320776747941847808,00:03:40.43,-30:18:04.08,8.13897616677865,-8.596120770686909,2015.5
2752953781948080512,00:04:42.44,+09:18:01.74,12.129156849404994,6.879223065707669,2015.5
4994610012455967616,00:05:14.24,-43:47:34.15,9.396564428678063,-1.1422659146937977,2015.5
384209460559886208,00:06:06.99,+42:23:31.48,,,2015.5
2798092891796120448,00:06:59.65,+19:28:17.58,-1.3606217980358009,-8.669520503746607,2015.5
540372448513994624,00:08:20.31,+77:31:18.90,,,2015.5
2544817841421994624,00:08:44.33,-01:40:14.71,0.15387211553003724,-1.8700370107111173,2015.5
2861111980562475136,00:09:10.93,+30:03:08.24,2.418211253140292,-5.9970491945034645,2015.5
2421428928566171776,00:09:38.25,-12:10:17.03,,,2015.5
383315115226644096,00:10:19.31,+41:04:54.68,-2.6440292532388754,-0.8679967367168255,2015.5
537539797327252608,00:10:21.29,+73:15:15.63,3.2955084263216876,3.836065664941903,2015.5
4706381148133159168,00:10:39.95,-68:17:34.90,-3.9196276439004887,-0.6584754269227007,2015.5
2861506395998660096,00:11:07.26,+30:32:35.91,2.0879078687256434,-7.477616799768096,2015.5
2742129944670172928,00:11:33.73,+04:51:22.43,20.376903725447026,-8.169393769027199,2015.5
2443219535337313280,00:11:53.09,-06:47:39.06,16.45566578390327,0.32977444684616486,2015.5
2861949606559861120,00:11:58.28,+31:55:43.68,,,2015.5
4922686318317847424,00:11:59.44,-55:41:51.89,26.888302169826282,-7.314326069273996,2015.5
2364431070415405312,00:12:22.23,-21:31:09.44,20.053877388070674,-27.41131955712986,2015.5
2877702550169010048,00:12:33.67,+37:50:13.59,-5.6161480689013015,-4.230160341222141,2015.5
2863582999802230656,00:13:39.61,+33:21:22.92,,,2015.5
4919598030674335360,00:14:00.35,-56:17:34.66,17.835234679616033,20.037864678787187,2015.5
394579405697456768,00:14:36.26,+50:32:40.01,,,2015.5
2316492878840572544,00:14:45.45,-32:04:45.98,,,2015.5
4972555149231837952,00:14:49.60,-52:32:15.80,1.6678965110387676,-2.44325822071227,2015.5
2856493142666940544,00:15:38.27,+26:36:56.65,22.451095732938033,-10.8602421631372,2015.5
422028021997432064,00:18:07.96,+57:26:08.22,3.070081950313811,-3.927973235747302,2015.5
2876157251000218496,00:18:56.93,+34:54:44.18,-5.048726698767455,-3.367988223318464,2015.5
2800340564145444352,00:19:12.57,+22:07:32.92,-35.78795005465486,-24.743166025688446,2015.5
392078154180000128,00:19:52.33,+46:49:33.12,,,2015.5
4688478831089666432,00:20:19.06,-73:52:07.77,-0.03658028647807034,0.6335852836939577,2015.5
2857063063352792320,00:20:49.52,+28:00:20.25,25.784123186695343,-24.35725890561082,2015.5
4918835764173746432,00:21:30.92,-57:19:22.20,-2.5375809673742675,0.585641792657526,2015.5
380129692601326720,00:22:08.67,+40:06:18.57,15.353770273739224,-2.9175735851396736,2015.5
2756091238377277440,00:22:53.23,+13:40:40.75,13.76864603158428,9.224086705688249,2015.5
430446643235641472,00:22:57.63,+61:41:07.54,-6.226152727790121,-2.133990620027291,2015.5
431024917624974592,00:23:26.80,+63:33:15.37,14.113040576689977,3.524559637163343,2015.5
391953909368658560,00:24:23.67,+45:47:28.70,,,2015.5
4707183143081508480,00:24:30.80,-66:35:52.67,18.321907441262404,3.5656732885694717,2015.5
2748173586426407424,00:25:00.19,+07:33:49.22,5.012259718366567,-11.258868664101675,2015.5
2754909740118313344,00:25:11.04,+12:17:11.81,-70.22305147716351,-37.47318432563239,2015.5
419660395499682688,00:25:22.12,+54:50:38.34,-2.504941869409419,0.8516343284699319,2015.5
2426656831478223872,00:26:03.80,-09:30:21.05,2.6938559773847457,-0.872025026069035,2015.5
2807191999055199232,00:26:37.05,+24:29:15.60,-10.626412815586395,-3.8507323591996756,2015.5
2541910801397761152,00:27:28.02,-01:08:28.66,,,2015.5
2347829338189150080,00:27:41.24,-24:39:46.88,-6.388582550711348,-20.173338760714717,2015.5
2858914439070801792,00:30:59.40,+30:16:34.46,-13.346749940442105,-3.166457258425159,2015.5
2749846901389046656,00:31:53.47,+08:41:18.45,-5.1918309313180355,-19.470360862139913,2015.5
2859621764350006784,00:32:03.63,+31:45:10.37,-4.370814029492397,-8.384588409275958,2015.5
381884955540495232,00:32:10.27,+41:58:09.83,,,2015.5
4900987185761614464,00:32:34.10,-62:38:12.39,-0.03351934372450488,-2.1614012099275803,2015.5
366989291698397824,00:33:03.96,+38:01:05.31,13.989830839178895,0.10575604054082045,2015.5
5005208724726700928,00:33:25.10,-35:18:56.16,,,2015.5
2319240730197380352,00:33:43.61,-28:12:44.35,,,2015.5
4688887231015003648,00:34:01.33,-73:16:14.18,,,2015.5
2319242894860911488,00:34:01.73,-28:08:18.99,-1.071925550048822,0.9100746228475374,2015.5
